tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,tip_amount,trip_duration
2017-01-10 18:37:59,2017-01-10 18:49:24,0.71,8.0,0.0,685
2017-01-05 15:14:52,2017-01-05 15:23:28,1.16,7.5,1.66,516
2017-01-11 14:47:52,2017-01-11 14:59:15,1.3,8.5,1.0,683
2017-01-04 07:31:49,2017-01-04 07:39:21,0.8,6.5,0.0,452
2017-01-12 17:43:50,2017-01-12 17:51:25,1.4,7.0,0.0,455
2017-01-22 02:08:10,2017-01-22 02:18:43,3.47,12.0,0.0,633
2017-01-25 19:28:25,2017-01-25 19:35:17,0.74,6.0,0.0,412
2017-01-04 20:47:30,2017-01-04 21:01:24,2.68,11.5,3.84,834
2017-01-17 08:09:14,2017-01-17 08:14:12,0.7,5.0,1.15,298
2017-01-23 17:51:31,2017-01-23 18:49:41,17.8,52.0,12.55,3490
2017-01-27 14:53:30,2017-01-27 14:57:29,0.19,4.5,0.0,239
2017-01-15 23:17:44,2017-01-15 23:22:12,1.04,5.5,0.0,268
2017-01-27 10:53:09,2017-01-27 10:59:45,1.5,7.0,1.95,396
2017-01-10 20:05:29,2017-01-10 20:23:02,2.06,12.0,2.66,1053
2017-01-13 09:32:10,2017-01-13 09:42:26,2.99,11.0,2.36,616
2017-01-10 01:38:29,2017-01-10 02:03:22,7.1,24.0,5.0,1493
2017-01-02 17:49:57,2017-01-02 18:04:31,2.24,11.5,2.46,874
2017-01-17 08:56:56,2017-01-17 09:03:45,1.27,7.0,1.56,409
2017-01-04 23:20:56,2017-01-04 23:40:38,10.91,31.0,7.5,1182
2017-01-08 08:02:59,2017-01-08 08:30:26,17.7,65.0,22.7,1647
2017-01-08 13:12:34,2017-01-08 13:21:36,1.74,8.5,4.0,542
2017-01-28 23:17:56,2017-01-28 23:36:03,2.7,13.0,0.0,1087
2017-01-01 20:22:36,2017-01-01 20:46:19,9.16,29.0,6.06,1423
2017-01-14 20:14:50,2017-01-14 20:27:43,0.9,9.0,0.0,773
2017-01-04 13:18:51,2017-01-04 13:26:05,0.99,6.5,0.9,434
2017-01-09 17:29:15,2017-01-09 17:50:08,5.09,19.5,4.26,1253
2017-01-04 19:32:14,2017-01-04 20:02:29,8.3,28.0,1.2,1815
2017-01-04 12:40:08,2017-01-04 12:46:19,0.6,5.5,0.0,371
2017-01-22 00:34:55,2017-01-22 00:50:47,2.97,12.5,0.0,952
2017-01-06 11:02:49,2017-01-06 11:14:56,1.82,9.5,2.06,727
2017-01-12 22:28:49,2017-01-12 22:32:23,0.51,4.5,1.16,214
2017-01-27 23:01:59,2017-01-27 23:14:22,2.07,11.0,2.46,743
2017-01-26 17:14:02,2017-01-26 17:23:10,1.74,8.5,2.06,548
2017-01-04 18:53:57,2017-01-04 19:05:17,2.3,10.0,2.35,680
2017-01-19 20:53:22,2017-01-19 21:05:54,1.5,9.5,2.7,752
2017-01-06 08:16:59,2017-01-06 08:25:48,1.46,7.5,1.66,529
2017-01-25 09:39:43,2017-01-25 09:45:04,1.22,6.0,1.36,321
